Asset,Backfill_Asset,Cutoff,Scale_Factor,Status,First_Live_Date,Backfill_Anchor_Date,Price_Basis
AVUV,DFSVX,2019-09-23,1.5516054689877619,SCALED,2019-09-24,2019-09-24,Open
FBTC,XLRE,2025-11-30,1.8234295692426776,SCALED,2025-12-01,2025-12-01,Open
FIKQX,FGBPX,2010-12-31,1.0,SCALED,2018-10-04,2018-10-04,Open
FIWDX,FSRIX,2010-12-31,1.0008271487804485,SCALED,2018-10-04,2018-10-04,Open
JBND,WOBDX,2023-11-30,5.103482581305004,SCALED,2023-12-01,2023-12-01,Open
JIVE,EFV,2023-12-31,0.9247727875972689,SCALED,2024-01-02,2024-01-02,Open
JPIE,JMSIX,2021-10-27,5.3389834498099065,SCALED,2021-11-02,2021-11-02,Open
VOO,VFINX,2010-12-31,0.7718774192779361,SCALED,2011-01-03,2011-01-03,Open
