Asset,Backfill_Asset,Cutoff,Scale_Factor,Status,First_Live_Date,Backfill_Anchor_Date,Price_Basis
AVUV,DFSVX,2019-09-23,1.5513596637030855,SCALED,2019-09-26,2019-09-26,Raw Close
FBTC,XLRE,2025-11-30,1.8135798580271618,SCALED,2025-12-01,2025-12-01,Raw Close
FIKQX,FGBPX,2010-12-31,1.0,SCALED,2018-10-04,2018-10-04,Raw Close
FIWDX,FSRIX,2010-12-31,1.0008271487804485,SCALED,2018-10-04,2018-10-04,Raw Close
JBND,WOBDX,2023-11-30,5.131343155830665,SCALED,2023-12-01,2023-12-01,Raw Close
JIVE,EFV,2023-12-31,0.9734544671720453,SCALED,2024-01-02,2024-01-02,Raw Close
JPIE,JMSIX,2021-10-27,5.337394127245012,SCALED,2021-11-02,2021-11-02,Raw Close
VOO,VFINX,2010-12-31,0.9922308882946014,SCALED,2011-01-03,2011-01-03,Raw Close
