Asset,Backfill_Asset,Cutoff,Scale_Factor,Status,First_Live_Date,Backfill_Anchor_Date,Price_Basis
AVUV,DFSVX,2019-09-23,1.8758186928638547,SCALED,2019-09-24,2019-09-24,Adjusted Close
FBTC,XLRE,2025-11-30,1.861896886495694,SCALED,2025-12-01,2025-12-01,Adjusted Close
FIKQX,FGBPX,2010-12-31,0.988066653800801,SCALED,2018-10-04,2018-10-04,Adjusted Close
FIWDX,FSRIX,2010-12-31,0.9899251829689358,SCALED,2018-10-04,2018-10-04,Adjusted Close
JBND,WOBDX,2023-11-30,5.064974588546424,SCALED,2023-12-01,2023-12-01,Adjusted Close
JIVE,EFV,2023-12-31,1.035722289615557,SCALED,2024-01-02,2024-01-02,Adjusted Close
JPIE,JMSIX,2021-10-27,5.351664595041051,SCALED,2021-11-02,2021-11-02,Adjusted Close
VOO,VFINX,2010-12-31,1.0016455861508706,SCALED,2011-01-03,2011-01-03,Adjusted Close
