Start_Date,End_Date,Asset,Trading_Days,Start_Price,End_Price,Return
2011-01-03,2011-12-23,MGK,248,8.215312957763672,8.409811973571777,0.023675180337992874
2011-12-27,2012-01-30,MGV,23,26.787227630615234,27.491424560546875,0.026288533462373254
2012-01-31,2012-07-18,MGK,118,8.880407333374023,9.411392211914062,0.05979285167973214
2012-07-19,2012-08-07,MGV,14,29.03986358642578,29.55567741394043,0.017762267580201607
2012-08-08,2012-08-09,JIVE,2,26.28264878042982,26.234823082979208,-0.00181966809548606
2012-08-10,2012-08-14,MGV,3,29.689918518066406,29.626333236694336,-0.0021416455330915962
2012-08-15,2012-08-15,JIVE,1,26.210916161100084,26.210916161100084,0.0
2012-08-16,2012-08-16,MGV,1,29.74643898010254,29.74643898010254,0.0
2012-08-17,2012-08-17,JIVE,1,26.64727230872128,26.64727230872128,0.0
2012-08-20,2012-10-10,MGK,37,9.855050086975098,9.888949394226074,0.003439790457866909
2012-10-11,2012-10-12,MGV,2,30.61796760559082,30.404516220092773,-0.006971442005806794
2012-10-15,2012-11-28,JIVE,30,27.5139925624746,27.788952786123133,0.009993468705939312
2012-11-29,2012-12-14,MGK,12,9.876630783081055,9.730555534362793,-0.014789987793053183
2012-12-17,2013-02-04,JIVE,33,28.924660978189838,30.27189435922887,0.046577326595284685
2013-02-05,2013-04-30,MGV,59,32.79449462890625,34.96417236328125,0.06615981611933641
2013-05-01,2013-05-07,JIVE,5,31.705634011511705,32.280334602691916,0.01812613464760071
2013-05-08,2013-05-08,MGV,1,35.627967834472656,35.627967834472656,0.0
2013-05-09,2013-05-09,JIVE,1,32.26219252653159,32.26219252653159,0.0
2013-05-10,2013-08-14,MGV,67,35.5485954284668,37.35341262817383,0.05077042223338468
2013-08-15,2013-08-28,JIVE,10,32.300750612170376,31.520929777124206,-0.02414249886664699
2013-08-29,2014-03-26,MGK,144,11.23052978515625,12.962427139282227,0.15421332628627016
2014-03-27,2014-05-01,MGV,25,40.97097396850586,41.8582878112793,0.021657133253788707
2014-05-02,2014-05-07,JIVE,4,36.96847783439592,36.999822948232314,0.0008478875970172606
2014-05-08,2014-05-08,MGV,1,41.79912185668945,41.79912185668945,0.0
2014-05-09,2014-05-09,JIVE,1,37.00610540518427,37.00610540518427,0.0
2014-05-12,2014-05-15,MGV,4,42.124473571777344,41.66603469848633,-0.010882957920171132
2014-05-16,2014-05-19,JIVE,2,37.106427154876194,37.02490536127069,-0.0021969723267951657
2014-05-20,2014-05-29,MGV,7,41.56251525878906,42.420230865478516,0.020636758900391072
2014-05-30,2015-12-24,MGK,398,13.59522533416748,15.390460014343262,0.13204890952884774
2015-12-28,2016-04-07,MGV,70,45.58963394165039,45.49919891357422,-0.0019836752405584246
2016-04-08,2016-04-26,MGK,13,15.34745979309082,15.46565055847168,0.007700998534889036
2016-04-27,2016-08-03,MGV,69,47.39888000488281,48.84238815307617,0.030454477997046592
2016-08-04,2016-11-04,MGK,66,16.209766387939453,15.577741622924805,-0.03899036851542126
2016-11-07,2016-11-07,JIVE,1,31.79281594322015,31.79281594322015,0.0
2016-11-08,2017-01-05,MGV,40,48.979034423828125,53.26856994628906,0.08757901361105835
2017-01-06,2017-01-06,JIVE,1,33.91365882450757,33.91365882450757,0.0
2017-01-09,2017-01-12,MGV,4,53.071510314941406,53.07939147949219,0.00014850085298134807
2017-01-13,2017-01-30,JIVE,11,34.19359167210204,33.97664539448941,-0.0063446472570949375
2017-01-31,2017-01-31,MGV,1,52.984806060791016,52.984806060791016,0.0
2017-02-01,2017-02-03,JIVE,3,34.13060905335099,34.29856797166151,0.00492106419923477
2017-02-06,2018-10-09,MGK,423,17.039670944213867,23.888572692871094,0.40193861554485566
2018-10-10,2018-12-20,MGV,50,64.5150146484375,58.25358963012695,-0.09705376418855383
2018-12-21,2018-12-21,JIVE,1,33.42322020548392,33.42322020548392,0.0
2018-12-24,2018-12-24,MGV,1,55.80152893066406,55.80152893066406,0.0
2018-12-26,2018-12-26,JIVE,1,33.839213685242285,33.839213685242285,0.0
2018-12-27,2019-01-03,MGV,5,58.719261169433594,58.13075256347656,-0.010022411628424543
2019-01-04,2019-01-15,JIVE,8,35.041818190154956,35.65445652374033,0.017483063528863863
2019-01-16,2019-02-06,MGV,15,61.41318130493164,63.543479919433594,0.03468797038740745
2019-02-07,2019-11-08,MGK,192,22.30044937133789,26.493051528930664,0.18800527683452883
2019-11-11,2019-12-23,MGV,30,71.59422302246094,74.3647689819336,0.03869789827320935
2019-12-24,2020-11-17,MGK,228,28.016586303710938,37.59685134887695,0.3419497629479955
2020-11-18,2020-12-30,JIVE,29,36.488984124653356,38.73068330203478,0.0614349571838817
2020-12-31,2021-01-08,MGK,6,39.658870697021484,40.07735824584961,0.010552180167337832
2021-01-11,2021-01-26,JIVE,11,39.789115297977034,39.66699460803107,-0.0030691984235240444
2021-01-27,2021-02-24,MGK,20,39.958621978759766,40.567867279052734,0.015246904675962458
2021-02-25,2021-03-01,JIVE,3,40.70100404647644,40.774279621428654,0.001800338263609813
2021-03-02,2021-03-02,MGV,1,80.33496856689453,80.33496856689453,0.0
2021-03-03,2021-03-05,JIVE,3,40.87198170510854,41.05110285039345,0.0043824923043191966
2021-03-08,2021-06-14,MGV,69,82.1174545288086,89.04467010498047,0.08435740751975773
2021-06-15,2021-06-18,JIVE,4,44.5457570666113,42.708652068166614,-0.04124085253950405
2021-06-21,2021-06-21,MGV,1,87.53531646728516,87.53531646728516,0.0
2021-06-22,2021-12-20,MGK,127,44.42268753051758,48.72300338745117,0.09680449554024295
2021-12-21,2021-12-27,MGV,4,93.6302490234375,95.7591781616211,0.022737621232329364
2021-12-28,2022-01-06,MGK,8,51.49885940551758,49.04066467285156,-0.04773299372146178
2022-01-07,2022-01-18,MGV,7,97.59258270263672,96.49614715576172,-0.011234824578993052
2022-01-19,2022-01-24,JIVE,4,44.618653323407926,43.21240238371299,-0.03151710853983092
2022-01-25,2022-01-25,MGV,1,93.81793212890625,93.81793212890625,0.0
2022-01-26,2022-01-28,JIVE,3,43.28018179663994,43.237824602599076,-0.0009786741247964637
2022-01-31,2022-02-07,MGV,6,95.08512878417969,95.92096710205078,0.008790421052783604
2022-02-08,2022-02-24,JIVE,12,44.796549587148746,42.04335568187765,-0.061459954631437386
2022-02-25,2022-05-19,MGV,59,94.45603942871094,89.56643676757812,-0.05176590814844784
2022-05-20,2022-05-27,JIVE,6,40.63711264464429,42.27208848092907,0.040233563112173076
2022-05-31,2022-06-02,MGV,3,94.28190612792969,94.3360824584961,0.000574620654072211
2022-06-03,2022-06-07,JIVE,3,41.78921646886329,42.19584158042474,0.009730383719073199
2022-06-08,2022-06-15,MGV,6,93.6405258178711,86.85641479492188,-0.07244845075031059
2022-06-16,2022-06-21,JIVE,3,38.204493946846796,38.553158453987976,0.009126269480921989
2022-06-22,2022-08-01,MGV,28,86.22407531738281,91.16647338867188,0.057320395180772366
2022-08-02,2022-08-31,MGK,22,40.125770568847656,38.276912689208984,-0.04607657008022836
2022-09-01,2022-11-16,MGV,54,89.32115173339844,94.31993865966797,0.05596420141546843
2022-11-17,2022-11-18,JIVE,2,39.06742299465961,39.22432241799622,0.004016119091296622
2022-11-21,2022-11-25,MGV,4,95.29071044921875,97.03074645996094,0.0182602900381299
2022-11-28,2023-01-30,JIVE,43,39.63400183095633,43.56347714163448,0.09914404625194861
2023-01-31,2024-01-05,MGK,235,37.497947692871094,49.80839538574219,0.3282965722204443
2024-01-08,2024-01-12,MGV,5,104.42339324951172,103.73242950439453,-0.006616943997081015
2024-01-16,2024-04-23,MGK,69,51.716495513916016,54.453346252441406,0.052920266760707824
2024-04-24,2024-05-07,JIVE,10,51.522151947021484,52.830596923828125,0.025395774969804608
2024-05-08,2024-07-26,MGK,55,56.401084899902344,59.98460006713867,0.06353628079311169
2024-07-29,2024-08-21,MGV,18,117.78765869140625,119.22480010986328,0.012201120511464048
2024-08-22,2024-08-30,MGK,7,62.156375885009766,62.41024398803711,0.004084345321178295
2024-09-03,2024-09-24,MGV,16,120.82479858398438,122.94219207763672,0.017524494296430104
2024-09-25,2024-09-25,JIVE,1,56.13013458251953,56.13013458251953,0.0
2024-09-26,2024-09-26,MGV,1,122.76637268066406,122.76637268066406,0.0
2024-09-27,2024-09-30,JIVE,2,57.21101760864258,56.7938346862793,-0.007292003180524809
2024-10-01,2024-10-07,MGV,5,123.3541488647461,122.84345245361328,-0.0041400829711271125
2024-10-08,2024-10-08,JIVE,1,56.12065124511719,56.12065124511719,0.0
2024-10-09,2024-10-28,MGV,14,124.23097229003906,123.56612396240234,-0.005351711536834114
2024-10-29,2025-02-26,MGK,81,65.9001235961914,67.90782165527344,0.030465770768266953
2025-02-27,2025-05-05,JIVE,47,58.3061637878418,62.16136932373047,0.06612003406563627
2025-05-06,2026-01-06,MGK,169,63.64683532714844,82.50687408447266,0.29632327609664366
2026-01-07,2026-03-13,JIVE,46,81.60299682617188,83.55799865722656,0.023957475914998305
2026-03-16,2026-03-16,MGV,1,145.8617706298828,145.8617706298828,0.0
2026-03-17,2026-03-20,JIVE,4,85.75900268554688,82.46800231933594,-0.038374984120070454
2026-03-23,2026-03-23,MGV,1,143.455810546875,143.455810546875,0.0
2026-03-24,2026-04-17,JIVE,18,83.85399627685547,91.3280029296875,0.08913119212775
2026-04-20,2026-06-11,MGK,38,82.80345916748047,86.60366821289062,0.04589432716480779
2026-06-12,2026-07-02,MGV,14,161.4207763671875,164.02999877929688,0.01616410520894851
