Trade_Date,Trigger_Date,From,To,New_State,Signal_Price_Basis,Rule
2011-01-06,2011-01-04,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-01-12,2011-01-10,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-01-25,2011-01-21,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-04-25,2011-04-20,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-04-29,2011-04-27,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-05-10,2011-05-06,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-06-14,2011-06-10,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2011-06-27,2011-06-23,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2012-06-13,2012-06-11,MGK,MGV,Value,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
2012-07-31,2012-07-27,MGV,MGK,Growth,Raw Close,"Next trading day after trigger (EMA89 crossover, 2-day cooldown, 0.30% proximity filter (3-day lookback) w/ 1.00% breakout fallback + 1-day confirmation, Raw Close signal)"
