Asset,Periods,Avg_Trading_Days,Median_Trading_Days,Min_Trading_Days,Max_Trading_Days,Avg_Return,Best_Return,Worst_Return,Pct_Time
MGK,33,76.81818181818181,49.0,2,374,0.067411564597942,0.598026140304081,-0.06317867719644621,0.6443823080833757
MGV,33,42.39393939393939,15.0,2,278,0.01770331593283974,0.19256896324724648,-0.062318619214907556,0.3556176919166243
