Date,AVUV,BIL,DFSVX,DXY,EFV,FBTC,FGBPX,FIKQX,FIWDX,FRDM,FSRIX,IMCB,JBND,JIVE,JMSFX,JMSIX,JPIE,MGK,MGV,MTUM,NERYX,PIMIX,SPHB,VEU,VFINX,VIX,VOO,WOBDX,XLF,XLG,XLRE,XLV
2008-01-02,,91.63999938964844,23.450000762939453,76.3499984741211,72.80999755859375,,7.239999771118164,,,,11.770000457763672,20.667499542236328,,,,,,10.005999565124512,50.099998474121094,,11.510000228881836,10.119999885559082,,59.13999938964844,133.22000122070312,22.579999923706055,,10.880000114440918,23.623071670532227,11.079000473022461,,35.630001068115234
2008-01-03,,91.66000366210938,23.06999969482422,75.98999786376953,72.23999786376953,,7.239999771118164,,,,11.760000228881836,20.40250015258789,,,,,,9.887999534606934,50.5,,11.510000228881836,10.119999885559082,,59.04999923706055,133.22000122070312,23.110000610351562,,10.880000114440918,23.135662078857422,10.92199993133545,,35.279998779296875
2008-01-04,,91.69999694824219,22.34000015258789,75.94999694824219,71.79000091552734,,7.25,,,,11.760000228881836,20.017499923706055,,,,,,9.777999877929688,50.560001373291016,,11.520000457763672,10.130000114440918,,58.130001068115234,129.9499969482422,23.5,,10.920000076293945,22.672624588012695,10.842000007629395,,34.88999938964844
2008-01-07,,91.5999984741211,22.469999313354492,76.05000305175781,71.01000213623047,,7.25,,,,11.739999771118164,19.657499313354492,,,,,,9.63599967956543,49.0,,11.520000457763672,10.130000114440918,,57.849998474121094,130.3699951171875,24.6200008392334,,10.90999984741211,22.40454864501953,10.729999542236328,,34.81999969482422
2008-01-08,,91.63999938964844,21.809999465942383,76.0999984741211,71.05999755859375,,7.25,,,,11.739999771118164,19.59000015258789,,,,,,9.644000053405762,49.9900016784668,,11.510000228881836,10.130000114440918,,57.5099983215332,128.02000427246094,23.270000457763672,,10.920000076293945,22.453290939331055,10.76099967956543,,35.65999984741211
2008-01-09,,91.68000030517578,22.0,76.08000183105469,70.19000244140625,,7.25,,,,11.720000267028809,19.020000457763672,,,,,,9.444000244140625,47.869998931884766,,11.510000228881836,10.109999656677246,,57.75,129.77000427246094,25.610000610351562,,10.930000305175781,21.608448028564453,10.512999534606934,,36.02000045776367
2008-01-10,,91.62000274658203,22.25,76.4000015258789,69.91999816894531,,7.230000019073486,,,,11.720000267028809,19.047500610351562,,,,,,9.529999732971191,46.959999084472656,,11.449999809265137,10.100000381469727,,57.68000030517578,130.8000030517578,24.559999465942383,,10.899999618530273,21.67343521118164,10.630999565124512,,36.33000183105469
2008-01-11,,91.63999938964844,21.790000915527344,75.88999938964844,70.20999908447266,,7.260000228881836,,,,11.729999542236328,19.25749969482422,,,,,,9.520000457763672,51.0,,11.5,10.149999618530273,,57.77000045776367,129.0399932861328,24.040000915527344,,10.9399995803833,22.152721405029297,10.690999984741211,,36.279998779296875
2008-01-14,,91.66000366210938,22.049999237060547,75.61000061035156,70.55000305175781,,7.269999980926514,,,,11.75,19.297500610351562,,,,,,9.57800006866455,50.470001220703125,,11.529999732971191,10.170000076293945,,57.189998626708984,130.44000244140625,23.760000228881836,,10.949999809265137,22.615760803222656,10.696999549865723,,36.40999984741211
2008-01-15,,91.72000122070312,21.6299991607666,75.4800033569336,69.37000274658203,,7.289999961853027,,,,11.760000228881836,19.135000228881836,,,,,,9.494000434875488,48.970001220703125,,11.59000015258789,10.1899995803833,,57.16999816894531,127.19000244140625,24.100000381469727,,10.989999771118164,22.225833892822266,10.602999687194824,,36.08000183105469
