Date,AVUV,BIL,FBTC,FIKQX,FIWDX,IMCB,JBND,JIVE,JPIE,MGK,MGV,MTUM,PIMIX,SPHB,VEU,VOO,XLF,XLG,XLV,EFV,DFSVX,JMSIX,WOBDX,FSRIX,FGBPX,XLRE,DXY,VIX,NERYX,VFINX,JMSFX,FRDM
2008-01-02,36.3634432399935,91.63999938964844,,7.239999771118164,11.77973599928819,20.667499542236328,55.52589106864567,71.0217799630349,,10.005999565124512,50.099998474121094,,10.119999885559082,,59.13999938964844,131.866538281864,23.623071670532227,11.079000473022461,35.630001068115234,72.80999755859375,23.450000762939453,,10.880000114440918,11.770000457763672,7.239999771118164,,76.3499984741211,22.579999923706055,11.510000228881836,133.22000122070312,,
2008-01-03,35.774183247585164,91.66000366210938,,7.239999771118164,11.76972749872923,20.40250015258789,55.52589106864567,70.46577949246456,,9.887999534606934,50.5,,10.119999885559082,,59.04999923706055,131.866538281864,23.135662078857422,10.92199993133545,35.279998779296875,72.23999786376953,23.06999969482422,,10.880000114440918,11.760000228881836,7.239999771118164,,75.98999786376953,23.110000610351562,11.510000228881836,133.22000122070312,,
2008-01-04,34.64218768017843,91.69999694824219,,7.25,11.76972749872923,20.017499923706055,55.73003017721546,70.02683449433606,,9.777999877929688,50.560001373291016,,10.130000114440918,,58.130001068115234,128.6297559697098,22.672624588012695,10.842000007629395,34.88999938964844,71.79000091552734,22.34000015258789,,10.920000076293945,11.760000228881836,7.25,,75.94999694824219,23.5,11.520000457763672,129.9499969482422,,
2008-01-07,34.843774756936824,91.5999984741211,,7.25,11.74971049761131,19.657499313354492,55.67899418330795,69.26599252850468,,9.63599967956543,49.0,,10.130000114440918,,57.849998474121094,129.04548712205974,22.40454864501953,10.729999542236328,34.81999969482422,71.01000213623047,22.469999313354492,,10.90999984741211,11.739999771118164,7.25,,76.05000305175781,24.6200008392334,11.520000457763672,130.3699951171875,,
2008-01-08,33.82032630452977,91.63999938964844,,7.25,11.74971049761131,19.59000015258789,55.73003017721546,69.31476006050997,,9.644000053405762,49.9900016784668,,10.130000114440918,,57.5099983215332,126.71937126221384,22.453290939331055,10.76099967956543,35.65999984741211,71.05999755859375,21.809999465942383,,10.920000076293945,11.739999771118164,7.25,,76.0999984741211,23.270000457763672,11.510000228881836,128.02000427246094,,
2008-01-09,34.11495630073394,91.68000030517578,,7.25,11.729694450956538,19.020000457763672,55.78106617112297,68.46613207185936,,9.444000244140625,47.869998931884766,,10.109999656677246,,57.75,128.45159194888802,21.608448028564453,10.512999534606934,36.02000045776367,70.19000244140625,22.0,,10.930000305175781,11.720000267028809,7.25,,76.08000183105469,25.610000610351562,11.510000228881836,129.77000427246094,,
2008-01-10,34.50262625869682,91.62000274658203,,7.230000019073486,11.729694450956538,19.047500610351562,55.62795818940044,68.2027591193693,,9.529999732971191,46.959999084472656,,10.100000381469727,,57.68000030517578,129.47112634474357,21.67343521118164,10.630999565124512,36.33000183105469,69.91999816894531,22.25,,10.899999618530273,11.720000267028809,7.230000019073486,,76.4000015258789,24.559999465942383,11.449999809265137,130.8000030517578,,
2008-01-11,33.7893149557349,91.63999938964844,,7.260000228881836,11.73970199705235,19.25749969482422,55.83209729797023,68.48563759625824,,9.520000457763672,51.0,,10.149999618530273,,57.77000045776367,127.72899758773546,22.152721405029297,10.690999984741211,36.279998779296875,70.20999908447266,21.790000915527344,,10.9399995803833,11.729999542236328,7.260000228881836,,75.88999938964844,24.040000915527344,11.5,129.0399932861328,,
2008-01-14,34.192489109251696,91.66000366210938,,7.269999980926514,11.759718998170271,19.297500610351562,55.88313329187774,68.81729104716864,,9.57800006866455,50.470001220703125,,10.170000076293945,,57.189998626708984,129.11478319933425,22.615760803222656,10.696999549865723,36.40999984741211,70.55000305175781,22.049999237060547,,10.949999809265137,11.75,7.269999980926514,,75.61000061035156,23.760000228881836,11.529999732971191,130.44000244140625,,
2008-01-15,33.54120346156656,91.72000122070312,,7.289999961853027,11.76972749872923,19.135000228881836,56.08727240044753,67.66627161521404,,9.494000434875488,48.970001220703125,,10.1899995803833,,57.16999816894531,125.8978019240822,22.225833892822266,10.602999687194824,36.08000183105469,69.37000274658203,21.6299991607666,,10.989999771118164,11.760000228881836,7.289999961853027,,75.4800033569336,24.100000381469727,11.59000015258789,127.19000244140625,,
2008-01-16,33.83583345777073,91.69999694824219,,7.269999980926514,11.74971049761131,18.774999618530273,56.03623640654001,66.21286073995545,,9.291999816894531,47.72999954223633,,10.15999984741211,,55.16999816894531,125.19501615171463,21.84402847290039,10.439000129699707,35.529998779296875,67.87999725341797,21.81999969482422,,10.979999542236328,11.739999771118164,7.269999980926514,,75.54000091552734,23.899999618530273,11.550000190734863,126.4800033569336,,
2008-01-17,32.93643927360432,91.66000366210938,,7.289999961853027,11.73970199705235,18.912500381469727,56.189344388262555,65.92998226306652,,9.329999923706055,48.849998474121094,,10.170000076293945,,54.7400016784668,121.56229617222978,22.120227813720703,10.435999870300293,36.02000045776367,67.58999633789062,21.239999771118164,,11.010000228881836,11.729999542236328,7.289999961853027,,76.19000244140625,24.110000610351562,11.579999923706055,122.80999755859375,,
2008-01-18,32.64180927740015,91.66000366210938,,7.269999980926514,11.729694450956538,18.497499465942383,56.240380382170066,64.95454231876656,,9.104000091552734,48.959999084472656,,10.15999984741211,,54.22999954223633,120.82981639639189,21.12104034423828,10.220999717712402,35.31999969482422,66.58999633789062,21.049999237060547,,11.020000457763672,11.720000267028809,7.269999980926514,,76.30000305175781,27.549999237060547,11.5600004196167,122.06999969482422,,
2008-01-22,32.703837890364,91.76000213623047,,7.320000171661377,11.719685950397578,17.767499923706055,56.59762260540214,59.852995577606826,,8.899999618530273,46.790000915527344,,10.199999809265137,,49.880001068115234,119.48363285859733,19.66693687438965,9.45199966430664,34.20000076293945,61.36000061035156,21.09000015258789,,11.09000015258789,11.710000038146973,7.320000171661377,,77.11000061035156,35.119998931884766,11.609999656677246,120.70999908447266,,
2008-01-23,34.00640918573426,91.80000305175781,,7.309999942779541,11.729694450956538,17.602500915527344,56.75072572006441,59.42379962066967,,8.670000076293945,44.54999923706055,,10.199999809265137,,50.84000015258789,122.04732340185421,20.601137161254883,9.633999824523926,32.77000045776367,60.91999816894531,21.93000030517578,,11.119999885559082,11.720000267028809,7.309999942779541,,76.27999877929688,33.84000015258789,11.630000114440918,123.30000305175781,,
2008-01-24,34.021916338975224,91.76000213623047,,7.25,11.709677449838619,18.829999923706055,56.189344388262555,63.16949287662993,,9.053999900817871,46.439998626708984,,10.149999618530273,,53.810001373291016,123.27472337388473,22.664499282836914,10.112000465393066,33.779998779296875,64.76000213623047,21.940000534057617,,11.010000228881836,11.699999809265137,7.25,,76.30999755859375,28.06999969482422,11.529999732971191,124.54000091552734,,
2008-01-25,33.80481915128881,91.80000305175781,,7.269999980926514,11.729694450956538,18.97249984741211,56.291411509017315,64.78871931431945,,9.265999794006348,49.150001525878906,,10.199999809265137,,54.9900016784668,121.32473659258451,23.062551498413086,10.309000015258789,33.970001220703125,66.41999816894531,21.799999237060547,,11.029999732971191,11.720000267028809,7.269999980926514,,75.75,26.190000534057617,11.579999923706055,122.56999969482422,,
2008-01-28,34.67320198666035,91.94000244140625,,7.269999980926514,11.73970199705235,18.752500534057617,56.291411509017315,62.98415690576776,,9.031999588012695,46.779998779296875,,10.199999809265137,,52.58000183105469,123.45289494658938,22.201461791992188,10.097000122070312,33.209999084472656,64.56999969482422,22.360000610351562,,11.029999732971191,11.729999542236328,7.269999980926514,,75.94000244140625,29.670000076293945,11.59000015258789,124.72000122070312,,
2008-01-29,34.843774756936824,91.81999969482422,,7.25,11.729694450956538,19.142499923706055,56.13830839435504,64.29125030097812,,9.140000343322754,48.68000030517578,,10.1899995803833,,54.720001220703125,124.22496924434861,23.038179397583008,10.258999824523926,33.61000061035156,65.91000366210938,22.469999313354492,,11.0,11.720000267028809,7.25,,75.55999755859375,26.610000610351562,11.520000457763672,125.5,,
2008-01-30,34.45610479897394,91.81999969482422,,7.230000019073486,11.729694450956538,19.22249984741211,55.93416928578525,63.61819435796597,,9.12600040435791,47.540000915527344,,10.170000076293945,,53.880001068115234,123.6409670377451,22.989439010620117,10.180000305175781,33.540000915527344,65.22000122070312,22.219999313354492,,10.960000038146973,11.720000267028809,7.230000019073486,,75.5,27.530000686645508,11.489999771118164,124.91000366210938,,
2008-01-31,35.51056755786291,91.83999633789062,,7.25,11.73970199705235,18.872499465942383,55.93416928578525,62.7500534029003,,8.968000411987305,46.2400016784668,,10.1899995803833,,52.5099983215332,125.72952331794572,22.396425247192383,10.064000129699707,32.810001373291016,64.33000183105469,22.899999618530273,,10.960000038146973,11.729999542236328,7.25,,75.0999984741211,28.780000686645508,11.539999961853027,127.0199966430664,,
2008-02-01,36.27040032054772,92.30000305175781,,7.260000228881836,11.759718998170271,19.655000686645508,56.03623640654001,65.19840230484155,,9.258000373840332,47.84000015258789,,10.210000038146973,,54.7400016784668,127.27367946534707,23.558082580566406,10.324000358581543,33.369998931884766,66.83999633789062,23.389999389648438,,10.979999542236328,11.75,7.260000228881836,,75.2300033569336,25.65999984741211,11.5600004196167,128.5800018310547,,
