Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
JBND,2023-03,0.13854626520742797,235.60209345658757
JBND,2023-04,0.16933432414241195,287.95811422471814
JBND,2023-05,0.1488089515190893,253.05410037929775
JBND,2023-06,0.15394029467491996,261.7801038406528
JBND,2023-07,0.15394029467491996,261.7801038406528
JBND,2023-08,0.15907163783075062,270.50610730200793
JBND,2023-09,0.15907163783075062,270.50610730200793
JBND,2023-10,0.15394029467491996,261.7801038406528
JBND,2023-11,0.1642029809865813,279.23211076336304
JBND,2023-12,0.414,704.0194590954432
JBND,2024-02,0.201,341.806548981121
JBND,2024-03,0.204,346.90813926442127
JBND,2024-04,0.217,369.015030492056
JBND,2024-05,0.216,367.3145003976225
JBND,2024-06,0.202,343.50707907555443
JBND,2024-07,0.178,302.6943568091519
JBND,2024-08,0.204,346.90813926442127
JBND,2024-09,0.177,300.99382671471847
JBND,2024-10,0.192,326.50177813122
JBND,2024-11,0.209,355.41078973658847
JBND,2024-12,0.396,673.4099173956413
JBND,2025-02,0.201,341.806548981121
JBND,2025-03,0.194,329.9028383200869
JBND,2025-04,0.191,324.8012480367866
JBND,2025-05,0.209,355.41078973658847
JBND,2025-06,0.205,348.6086693588547
JBND,2025-07,0.192,326.50177813122
JBND,2025-08,0.211,358.8118499254553
JBND,2025-09,0.185,314.598067470186
JBND,2025-10,0.203,345.20760916998785
JBND,2025-11,0.192,326.50177813122
JBND,2025-12,0.42000000000000004,714.2226396620438
JBND,2026-02,0.189,321.4001878479197
JBND,2026-03,0.173,294.1917063369847
JBND,2026-04,0.194,329.9028383200869
JBND,2026-05,0.205,348.6086693588547
JBND,2026-06,0.192,326.50177813122
JBND,2026-07,0.2,340.10601888668754
