Date,VOO Benchmark,A1V12 Tactical Sleeve,Tactical + SMH Overlay,Overlay_Active
2011-01-03,100000.0,100000.0,100000.0,True
2011-01-04,99920.38216560509,99633.69963369965,99752.32397583059,True
2011-01-05,100454.95905368516,100244.20024420027,100142.47433500245,True
2011-01-06,100284.34940855321,126560.1168776398,119699.3936890137,True
2011-01-07,100079.6178343949,126274.96453018737,119441.35566913348,True
2011-01-10,99988.62602365787,125894.76140025078,119237.7802743787,True
2011-01-11,100318.47133757961,126274.96453018737,119722.31740287202,True
2011-01-12,101205.6414922657,100601.97564957784,101311.84956842085,True
2011-01-13,101069.15377616015,100480.76845000002,101230.79535195109,True
2011-01-14,101797.08826205641,101086.80444788905,102392.98849863072,True
2011-01-18,101967.69790718835,101450.42604662247,102807.0671464471,True
2011-01-19,100955.41401273884,100359.56125042222,101638.07647689205,True
2011-01-20,100830.30027297544,100117.14685126662,101239.94371354971,True
2011-01-21,101057.779799818,99874.73245211101,100955.75921474826,True
2011-01-24,101671.97452229299,100723.18284915565,102157.96279111992,True
2011-01-25,101637.85259326661,127455.16169033405,121927.02811947638,True
2011-01-26,102172.42948134665,127690.84061357801,122269.54897965152,True
2011-01-27,102308.91719745223,128067.92689076836,123084.15901640092,True
2011-01-28,100511.82893539582,126182.49550481666,121102.24710638706,True
2011-01-31,101273.88535031847,127172.3469824413,121844.8433558185,True
2011-02-01,102866.24203821654,129576.27199952971,124323.29772245168,True
2011-02-02,102695.63239308464,129152.04993769056,124072.31214596037,True
2011-02-03,102945.85987261147,129434.86464558331,124186.43096423185,True
2011-02-04,103218.83530482257,129482.0004302321,124676.35063898488,True
2011-02-07,103878.52593266606,130377.58033855917,125237.24019012845,True
2011-02-08,104356.23293903549,130990.34553899345,125668.06451218887,True
2011-02-09,104106.00545950863,130518.98769250554,125262.37809382152,True
2011-02-10,104140.12738853504,130518.98769250554,125406.03562474577,True
2011-02-11,104788.4440400364,131414.56760083258,126262.24481607106,True
2011-02-14,105050.04549590535,131838.7896626717,126728.73192722778,True
2011-02-15,104674.7042766151,131320.296031535,126208.2492378958,True
2011-02-16,105345.76888080074,132215.87593986208,127088.39686919504,True
2011-02-17,105732.48407643312,132592.96221705238,127607.69085124011,True
2011-02-18,105903.09372156506,132970.04849424274,127863.59924771711,True
2011-02-22,103742.0382165605,130848.9381850471,125443.3947902453,True
2011-02-23,103150.59144676979,130566.12347715432,124818.47272451376,True
2011-02-24,103048.22565969062,130189.03719996399,124762.09614628731,True
2011-02-25,104174.24931756144,131226.02446223743,126138.28573604436,True
2011-02-28,104788.4440400364,132357.28329380843,126786.28287083149,True
2011-03-01,103002.72975432209,130330.44455391036,124819.15196994563,True
2011-03-02,103287.07916287534,130330.44455391036,125417.7581811294,True
2011-03-03,105061.4194722475,132545.8264324036,127652.52899856945,True
2011-03-04,104287.98908098272,131461.70338548138,126632.44539987379,True
2011-03-07,103378.07097361235,130566.12347715432,125153.69335012947,True
2011-03-08,104344.85896269334,131885.9254473205,126157.12081602355,True
2011-03-09,104219.74522292991,131980.1970166181,125389.03633931316,True
2011-03-10,102308.91719745223,129293.45729163692,122884.27508182582,True
2011-03-11,103002.72975432209,130189.03719996399,123716.5261130514,True
2011-03-14,102399.90900818926,129293.45729163692,123003.9870018213,True
2011-03-15,101262.51137397635,127832.2479675244,121488.5514465319,False
2011-03-16,99328.93539581438,125428.32295043598,131505.44529341988,False
2011-03-17,100568.69881710646,127172.3469824413,133333.96895965686,False
2011-03-18,101000.90991810737,128162.19846006593,134371.77968914268,False
2011-03-21,102536.39672429483,129670.54356882728,135953.20556264493,False
2011-03-22,102172.42948134665,129246.32150698816,135508.42953572242,False
2011-03-23,102502.27479526843,129482.0004302321,135755.52732845713,False
2011-03-24,103457.68880800728,130283.30876926158,136595.6598237552,False
2011-03-25,103776.16014558691,130754.66661574948,137089.85540922463,False
2011-03-28,103548.68061874431,130566.12347715432,136892.17717503686,False
2011-03-29,104219.74522292991,131273.16024688623,137633.47055324103,False
2011-03-30,104924.93175614194,132310.14750915964,138720.70084127382,False
2011-03-31,104788.4440400364,131838.7896626717,138226.50525580437,False
2011-04-01,105277.52502274797,132640.0980017012,139066.63775110245,False
2011-04-04,105323.02092811646,132734.36957099877,139165.4768681963,False
2011-04-05,105323.02092811646,132828.64114029636,139264.31598529022,False
